image_id,image_path,true_label,architecture,model_name,layer_or_block,xai_method,predicted_label,confidence,correct,pearson,spearman,iou_top20,iou_otsu,z_spearman,z_iou_top20,n_sas
image_000000,data/val.X/n01440764/ILSVRC2012_val_00002138.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999570846557616,1,0.08913271,-0.0025424846,0.17147192,0.08703365,-0.010816472,0.8338885,0.411536
image_000001,data/val.X/n01440764/ILSVRC2012_val_00003014.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9789790511131288,1,-0.07161749,-0.09245532,0.21288295,0.19528359,-0.5627477,1.4781603,0.45770627
image_000002,data/val.X/n01440764/ILSVRC2012_val_00009111.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999943971633912,1,0.488033,0.20621333,0.2872443,0.27680168,1.2706342,2.6350722,1.9528532
image_000003,data/val.X/n01440764/ILSVRC2012_val_00009191.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999946355819702,1,0.48688775,0.27669078,0.2584326,0.22131929,1.7032609,2.1868205,1.9450407
image_000004,data/val.X/n01440764/ILSVRC2012_val_00009346.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.999880075454712,1,0.19416103,-0.17143826,0.1288454,0.13055304,-1.0475857,0.17070594,-0.4384399
image_000005,data/val.X/n01440764/ILSVRC2012_val_00009379.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999721050262452,1,0.32546,0.05747953,0.16211209,0.21730873,0.35762957,0.68826836,0.522949
image_000006,data/val.X/n01440764/ILSVRC2012_val_00012503.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999959468841552,1,0.16778493,-0.041258007,0.13253964,0.1649827,-0.24847227,0.22818102,-0.010145627
image_000007,data/val.X/n01440764/ILSVRC2012_val_00013716.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.999909520149231,1,0.3474484,0.0061392933,0.25371644,0.27839392,0.04247675,2.1134467,1.0779617
image_000008,data/val.X/n01440764/ILSVRC2012_val_00016018.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.9999642372131348,1,0.6690241,0.4811458,0.26064566,0.2519267,2.958311,2.2212512,2.5897813
image_000009,data/val.X/n01440764/ILSVRC2012_val_00017699.JPEG,0,vit,vit_supervised,block_03,gmar,0,0.999990940093994,1,-0.16564351,-0.21548136,0.074978575,0.035781544,-1.3179449,-0.66735274,-0.99264884
